;def;genes;proportion;significant_area;#_cases;#_controls;pvalue_proportion;pvalue_significant_area;fdr_sig_area;fdr_proportion
805;SNV;ZZEF1;0.3196;0.3092;31;440;0.00195048619128013;0.0073246728617842;0.0350729901210848;0.0112600531332356
1141;SNV;COLCA2;0.3133;0.3092;27;444;0.00258263031658889;0.0073246728617842;0.0350729901210848;0.0123558390414901
1203;SNV;REST;0.3119;0.3092;27;444;0.00274741465728924;0.0073246728617842;0.0350729901210848;0.0125779966688989
1802;SNV;KDM5A;0.3073;0.3092;23;448;0.00336185878358879;0.0073246728617842;0.0350729901210848;0.0132800868332169
94;SNV;HECTD4;0.3203;0.309;55;416;0.00189013479123029;0.00736165785923775;0.0350729901210848;0.0110993173244235
516;SNV;FLNB;0.3233;0.3089;35;436;0.00165105698904622;0.00738021457601293;0.0350729901210848;0.0109006248724322
570;SNV;KIAA1024;0.3134;0.3089;34;437;0.00257122616552677;0.00738021457601293;0.0350729901210848;0.0123558390414901
765;SNV;NID2;0.3068;0.3088;31;440;0.00343597974930779;0.00739881422364282;0.0350729901210848;0.0133311551961779
1149;SNV;FMNL3;0.318;0.3088;27;444;0.00209539567670428;0.00739881422364282;0.0350729901210848;0.0115925825632482
2380;SNV;ZNF142;0.3157;0.3087;21;450;0.00232175371938408;0.00741745689144494;0.0350729901210848;0.0120630247594086
740;SNV;GPR179;0.3144;0.3086;31;440;0.00245978340774805;0.00743614266889763;0.0350729901210848;0.0121715990569728
1462;SNV;KIF16B;0.313;0.3086;25;446;0.00261713149743707;0.00743614266889763;0.0350729901210848;0.0123615499582502
2121;SNV;ADRA2A;0.3128;0.3086;21;450;0.0026403747846761;0.00743614266889763;0.0350729901210848;0.0123621652544634
1262;SNV;CLEC16A;0.3111;0.3085;26;445;0.00284600438389232;0.00745487164564027;0.0350729901210848;0.0126050951829911
196;SNV;PAPPA2;0.307;0.3084;47;424;0.00340614779446106;0.00747364391147356;0.0350729901210848;0.0132800868332169
1403;SNV;CABIN1;0.3127;0.3082;25;446;0.00265206974992647;0.00751131867042245;0.0350729901210848;0.0123621652544634
1502;SNV;PLXNA3;0.3083;0.3082;25;446;0.00321813073825135;0.00751131867042245;0.0350729901210848;0.0131027810296775
2307;SNV;SALL2;0.3172;0.3082;21;450;0.00217163676990342;0.00751131867042245;0.0350729901210848;0.0116633974833015
756;SNV;LRP6;0.3107;0.308;31;440;0.00289654803457723;0.00754916766738396;0.0350729901210848;0.0126790289425633
2017;SNV;MVK;0.3177;0.3079;22;449;0.00212368276405174;0.0075681577313412;0.0350729901210848;0.0116135067805398
1347;SNV;ROR2;0.3131;0.3078;26;445;0.00260558279368662;0.00758719162659276;0.0350729901210848;0.0123558390414901
1042;SNV;CNGB1;0.3093;0.3077;28;443;0.00308023184147607;0.00760626944407468;0.0350729901210848;0.012983532858585
531;SNV;PTPN13;0.3086;0.3075;35;436;0.00317615918789113;0.00764455721028942;0.0350729901210848;0.0130654396885711
788;SNV;SYNPO;0.3221;0.3075;31;440;0.00174300629696532;0.00764455721028942;0.0350729901210848;0.0109258897600216
457;SNV;ADAMTS18;0.3013;0.3073;36;435;0.00435999275990253;0.00768302176074008;0.0350729901210848;0.0149718142186308
1399;SNV;BLM;0.3042;0.3073;25;446;0.00384697127904351;0.00768302176074008;0.0350729901210848;0.0141016278480276
360;SNV;ACACA;0.3168;0.3072;39;432;0.00221073963136886;0.00770232055913115;0.0350729901210848;0.0117939011584187
411;SNV;PCNT;0.3163;0.3072;38;433;0.00226056008102655;0.00770232055913115;0.0350729901210848;0.0119003052723644
